date,commodity,commodity_code,is_observed_source,price_idr,year,month,quarter,day_of_week,week_of_year,is_month_start,is_month_end,price_lag_1d,price_lag_7d,price_lag_30d,price_change_1d_pct,price_change_7d_pct,price_change_30d_pct,rolling_mean_7d,rolling_mean_30d,rolling_std_30d,price_vs_ma30_pct,volatility_30d_pct,target_7d_inflation_pct,target_30d_inflation_pct
2018-01-31,beras,1,1,12100.0,2018,1,1,2,5,0,1,12100.0,12100.0,11050.0,0.0,0.0,9.5023,12100.0,11965.0,127.4078,1.1283,1.1522,0.0,-0.8264
2018-02-01,beras,1,1,12100.0,2018,2,1,3,5,1,0,12100.0,12100.0,11750.0,0.0,0.0,2.9787,12100.0,11976.6667,122.9896,1.0298,0.1808,0.0,-0.8264
2018-02-02,beras,1,1,12100.0,2018,2,1,4,5,0,0,12100.0,12100.0,11750.0,0.0,0.0,2.9787,12100.0,11988.3333,117.2114,0.9315,0.1808,0.0,-0.8264
2018-02-03,beras,1,0,12100.0,2018,2,1,5,5,0,0,12100.0,12100.0,11750.0,0.0,0.0,2.9787,12100.0,12000.0,109.8588,0.8333,0.1808,0.0,-0.8264
2018-02-04,beras,1,0,12100.0,2018,2,1,6,5,0,0,12100.0,12100.0,11800.0,0.0,0.0,2.5424,12100.0,12010.0,104.5516,0.7494,0.1706,0.0,-1.2397
2018-02-05,beras,1,1,12100.0,2018,2,1,0,6,0,0,12100.0,12100.0,11800.0,0.0,0.0,2.5424,12100.0,12020.0,97.9092,0.6656,0.1706,0.0,-0.8264
2018-02-06,beras,1,1,12100.0,2018,2,1,1,6,0,0,12100.0,12100.0,11800.0,0.0,0.0,2.5424,12100.0,12030.0,89.6353,0.5819,0.1706,0.0,-1.2397
2018-02-07,beras,1,1,12100.0,2018,2,1,2,6,0,0,12100.0,12100.0,11800.0,0.0,0.0,2.5424,12100.0,12040.0,79.2203,0.4983,0.1706,0.0,-1.2397
2018-02-08,beras,1,1,12100.0,2018,2,1,3,6,0,0,12100.0,12100.0,11850.0,0.0,0.0,2.1097,12100.0,12048.3333,71.2975,0.4288,0.1586,0.0,-1.2397
2018-02-09,beras,1,1,12100.0,2018,2,1,4,6,0,0,12100.0,12100.0,11850.0,0.0,0.0,2.1097,12100.0,12056.6667,61.2138,0.3594,0.1586,2.0661,-1.2397
